pmid,title,abstract,authors,journal,pub_date,source,doi,pmc_link
40799591,Primary cortical neurons form calcium-phosphate sheets with a bone-precursor-like ultrastructure.,"Calcium-phosphate is a critical component in healthy bone and teeth formation, but its pathologic buildup in brain can occur in dyshomeostatic calcium disorders like Alzheimer's disease and Leigh syndrome. Extracellular calcium-phosphate in the nervous system is not well understood, but prior evidence suggests mitochondria as a potential source. Recently, large unidentified double-membrane-bound hyper-electron dense sheet aggregates of unknown content were reported in Huntington's disease model neurons using cryo-ET that were absent in wild-type control neurons. We use a combination of cryo-ET, cryo-CLEM, and LDSAED to demonstrate that these sheet aggregates are generated by wild-type cortical neurons isolated from embryonic day 18 rat embryos and have an octacalcium phosphate-like structure. They appear to be derived from mitochondria and are extruded at least in part by migrasomes. These findings reveal an important link for how mitochondria can serve as reservoirs for intracellular and extracellular calcium-phosphate highlighting them as potential therapeutic targets in neurological disorders characterized by pathological calcification, such as Alzheimer's disease.","Anderson ED, Cronkite CA, Baldwin PR, Abella CP, Duman JG, Simmonds AN, Waxham MN, Tolias KF, Ludtke SJ",bioRxiv : the preprint server for biology,2025 Aug 6,PubMed,,
40791678,Frequency enrichment of coding variants in a French-Canadian founder population and its implication for inflammatory bowel diseases.,"1 The genetic features of founder populations with recent bottlenecks, causing some deleterious variants to rise to higher frequencies, can enhance the power of rare variant association studies. French Canadians from Quebec represent a recent founder population with a particular disease heritage comprising more than 30 prevalent Mendelian conditions. Here, we characterize coding variation in this founder population using exome sequencing data from 2,820 French-Canadian participants - patients with inflammatory bowel diseases (IBD), parents and controls from the Quebec IBD cohort. We find that 18% of rare coding variants are 10-100 times more frequent than in non-Finnish Europeans (NFE). A total of 4,133 missense and loss-of-function variants were significantly enriched with a median 28-fold enrichment, revealing the potential for genotype-phenotype associations in this population. We describe significantly enriched pathogenic variants, including those known to account for the increased prevalence of rare diseases in FC compared to other European descent populations, such as Agenesis of corpus callosum and peripheral neuropathy ( ","Bhérer C, Grenier JC, Pelletier J, Boucher G, Gagnon G, Goyette P, Ashton-Beaucage D, Stevens C, Battat R, Bitton A, Campeau PM, Laprise C, NIDDK IBD Genetics Consortium, Quebec IBD Genetics Consortium, iGenoMed Consortium, Huang H, Daly M, Taliun D, Hussin JG, Mooser V, Rioux JD",medRxiv : the preprint server for health sciences,2025 Jul 14,PubMed,,
40791373,"ndufs2 (-/-) zebrafish have impaired survival, neuromuscular activity, morphology, and one-carbon metabolism treatable with folic acid.","Mitochondrial complex I (CI) deficiency represents a common biochemical pathophysiology underlying Leigh syndrome spectrum (LSS), manifesting with progressive multi-system dysfunction, lactic acidemia, and early mortality. To facilitate mechanistic studies and rigorous screening of therapeutic candidates for CI deficient LSS, we used CRISPR/Cas9 to generate an ","Mitchell DV, Iadarola DM, Mathew ND, Keith K, Seiler C, Yu S, Kim MS, Woodard N, Anderson VE, Nakamaru-Ogiso E, Taylor DM, Falk MJ",bioRxiv : the preprint server for biology,2025 Jul 18,PubMed,,
40786033,"Zagociguat prevented stressor-induced neuromuscular dysfunction, improved mitochondrial physiology, and increased exercise capacity in diverse mitochondrial respiratory chain disease zebrafish models.","BACKGROUND: Zagociguat (zag) is a CNS-penetrant, soluble guanylate cyclase (sGC) stimulator that has been evaluated in phase 2a, with phase 2b ongoing, clinical studies of primary mitochondrial disease (PMD) subjects with mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes syndrome (MELAS). To explore its utility in a broader array of PMDs and secondary mitochondrial disorders, we performed prfeclinical modeling of zag across larval and adult zebrafish models with biochemical deficiencies in diverse respiratory chain (RC) complexes or dihydrolipoamide dehydrogenase (Dldh). METHODS: Zag was evaluated for tissue uptake, gross toxicity, protection from RC toxin-induced brain death, neuromuscular dysfunction, heartbeat loss, and biochemical dysfunction in transgenic or toxin-exposed zebrafish with mitochondrial enzyme deficiencies in complex I ( RESULTS: Similar zag levels were observed in adult brains and tail muscle. No morphological or functional toxic effects of zag were observed on larvae viability. Zag provided neuromuscular protection in complex I deficient genetic and pharmacologic inhibitor models. In complex IV deficient models, prevention from brain death occurred at 100 nM zag in high-dose azide-exposed WT larvae; however, no rescue of swimming or neuromuscular phenotypes in low-dose azide-exposed  CONCLUSION: Preclinical evaluation of zag demonstrated its safety, significant protection of neuromuscular dysfunction and/or acute RC stressor-induced decompensation, and improved mitochondrial physiology across multiple different genetic and/or pharmacologic models of RC-deficient PMD. Thus, zag may yield therapeutic potential for an array of diseases with mitochondrial dysfunction beyond MELAS, potentially including Leigh syndrome spectrum disorder and primary mitochondrial myopathies.","Burg L, Yoon H, Peng M, Germano P, Reesey Gretzmacher E, Xiao R, Anderson VE, Nakamaru-Ogiso E, Falk MJ",Frontiers in pharmacology,2025,PubMed,,
40770507,Hypoxia ameliorates neurodegeneration and movement disorder in a mouse model of Parkinson's disease.,"Parkinson's disease (PD) is characterized by inclusions of α-synuclein (α-syn) and mitochondrial dysfunction in dopaminergic (DA) neurons of the substantia nigra pars compacta (SNpc). Patients with PD anecdotally experience symptom improvement at high altitude; chronic hypoxia prevents the development of Leigh-like brain disease in mice with mitochondrial complex I deficiency. Here we report that intrastriatal injection of α-syn preformed fibrils (PFFs) in mice resulted in neurodegeneration and movement disorder, which were prevented by continuous exposure to 11% oxygen. Specifically, PFF-induced α-syn aggregation resulted in brain tissue hyperoxia, lipid peroxidation and DA neurodegeneration in the SNpc of mice breathing 21% oxygen, but not in those breathing 11% oxygen. This neuroprotective effect of hypoxia was also observed in Caenorhabditis elegans. Moreover, initiating hypoxia 6 weeks after PFF injection reversed motor dysfunction and halted further DA neurodegeneration. These results suggest that hypoxia may have neuroprotective effects downstream of α-syn aggregation in PD, even after symptom onset and neuropathological changes.","Marutani E, Miranda M, Durham TJ, Kim SH, Russell DL, Wiesenthal PP, Lichtenegger P, Menard MA, Brzozowski CF, Li H, Ruvkun G, Meisel JD, Volpicelli-Daley L, Mootha VK, Ichinose F",Nature neuroscience,2025 Aug 6,PubMed,,
40767000,Pioglitazone Ameliorates Mitochondrial Oxidative Stress and Inflammation via AMPK-Dependent Inhibition of Mitochondrial Fission in Leigh Syndrome.,,"Luo J, Chen L, Zhang X, Su Q, Zhou X, Lian Q",Cell proliferation,2025 Aug 6,PubMed,,
40766495,Multiplexed quantum sensing reveals coordinated thermomagnetic regulation of mitochondria.,,"Kashem MSB, Varnum S, Lazorik O, Giwa R, Iyer S, Yao C, Piston DW, Zu C, Brestoff JR, Mukherji S",bioRxiv : the preprint server for biology,2025 Aug 1,PubMed,,
40757025,"Clinical features, disease burden and impact on quality of life in participants with mitochondrial encephalomyopathy.",,"Dumbuya JS, Tian C, Deng L, Ahmad B, Chen X, Lu J",Frontiers in neurology,2025,PubMed,,
40740790,Monitoring Mobility at Home: The GAIT-HUB Sensor-Based Protocol for Remote Gait Analysis.,,"Pilloni G, Ko TSH, Kreisberg E, Geel J, Gutman JM, Sammarco C, Oh C, Charvet L",Digital biomarkers,2025 Jan-Dec,PubMed,,
40732489,Cell Membrane Capacitance (C(m)) Measured by Bioimpedance Spectroscopy (BIS): A Narrative Review of Its Clinical Relevance and Biomarker Potential.,,"Brantlov S, Ward LC, Isidor S, Hvas CL, Rud CL, Jødal L","Sensors (Basel, Switzerland)",2025 Jul 12,PubMed,,
